               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038782,            0.010725,           0.0017696,              0.1274,             0.15449,            0.059745,            0.022797,             0.08402,            0.010949,           0.0044818,            0.008845,            0.008845,            0.008845
                  37,            0.038465,            0.010571,           0.0016991,             0.50023,             0.77232,             0.54634,             0.31899,             0.03738,           0.0088886,           0.0016178,            0.008812,            0.008812,            0.008812
                  38,            0.039237,            0.010397,           0.0020062,             0.47862,             0.69486,             0.46279,             0.25802,            0.042189,             0.00737,           0.0044626,            0.008779,            0.008779,            0.008779
                  39,            0.038026,             0.01047,           0.0017486,             0.49389,             0.64215,             0.44267,             0.23564,            0.044928,           0.0078249,           0.0025424,            0.008746,            0.008746,            0.008746
                  40,            0.036993,            0.010462,           0.0018478,             0.42053,             0.46001,             0.35118,             0.14972,            0.052419,           0.0095661,            0.011936,            0.008713,            0.008713,            0.008713
                  41,            0.037777,            0.010094,           0.0023893,             0.47946,             0.69732,             0.46547,             0.28157,            0.040366,           0.0079586,           0.0026754,             0.00868,             0.00868,             0.00868
                  42,            0.036905,            0.010429,           0.0018994,              0.1915,              0.2856,              0.1567,            0.085379,            0.081196,             0.01474,            0.021495,            0.008647,            0.008647,            0.008647
                  43,            0.036917,            0.010379,           0.0012586,             0.41929,             0.73649,             0.42889,             0.24925,            0.044329,           0.0080402,           0.0039911,            0.008614,            0.008614,            0.008614
                  44,            0.036934,            0.010517,            0.001408,             0.23351,             0.21711,             0.13961,            0.078178,            0.087505,            0.015607,            0.016598,            0.008581,            0.008581,            0.008581
                  45,             0.03573,           0.0099548,           0.0015044,             0.47425,             0.64642,             0.46108,              0.2623,            0.045677,           0.0078566,           0.0060397,            0.008548,            0.008548,            0.008548
                  46,            0.035079,           0.0097306,           0.0017733,             0.43834,             0.49945,             0.30224,             0.12926,            0.067345,            0.008304,           0.0028412,            0.008515,            0.008515,            0.008515
                  47,             0.03565,            0.010217,           0.0015479,             0.47051,             0.61973,             0.43313,             0.21838,            0.052142,           0.0080532,           0.0028313,            0.008482,            0.008482,            0.008482
                  48,             0.03496,           0.0097065,            0.001449,             0.39747,             0.50392,             0.31982,             0.17133,            0.052957,           0.0091203,           0.0031056,            0.008449,            0.008449,            0.008449
                  49,            0.035986,            0.010139,           0.0011472,             0.29999,             0.34089,             0.22349,            0.066539,            0.063788,            0.011475,           0.0045436,            0.008416,            0.008416,            0.008416
                  50,            0.034481,           0.0098004,           0.0013474,             0.53261,             0.60145,             0.48623,             0.25972,            0.045608,           0.0087169,           0.0020392,            0.008383,            0.008383,            0.008383
                  51,            0.033936,           0.0098865,           0.0015505,             0.42634,             0.61011,             0.41868,             0.24805,             0.04973,           0.0082025,           0.0040685,             0.00835,             0.00835,             0.00835
                  52,            0.035686,           0.0097527,           0.0011471,             0.45896,             0.73956,             0.50756,             0.31535,            0.037795,           0.0081996,           0.0028681,            0.008317,            0.008317,            0.008317
                  53,            0.034122,           0.0093058,           0.0017634,             0.22015,             0.40354,             0.19519,            0.091911,            0.072398,            0.013439,            0.009602,            0.008284,            0.008284,            0.008284
                  54,            0.034453,           0.0097946,           0.0012936,             0.48403,             0.77159,             0.50394,             0.32497,              0.0371,           0.0074056,           0.0018408,            0.008251,            0.008251,            0.008251
                  55,            0.033758,           0.0096272,           0.0013029,             0.48435,             0.70439,             0.50698,             0.33608,            0.036291,            0.008359,           0.0031909,            0.008218,            0.008218,            0.008218
                  56,            0.032871,           0.0095856,           0.0013203,             0.48226,             0.60726,             0.42284,             0.25717,             0.04842,           0.0088892,           0.0019368,            0.008185,            0.008185,            0.008185
                  57,            0.032723,           0.0094552,            0.001423,             0.38863,             0.49964,             0.30117,             0.12499,            0.055899,            0.010491,           0.0047443,            0.008152,            0.008152,            0.008152
                  58,            0.032568,           0.0097769,           0.0014418,             0.24406,             0.41247,             0.20144,             0.09631,            0.069928,            0.010823,           0.0038084,            0.008119,            0.008119,            0.008119
                  59,            0.033139,           0.0090509,           0.0011065,             0.49364,             0.77314,             0.50431,             0.28355,             0.04323,           0.0075921,           0.0014455,            0.008086,            0.008086,            0.008086
                  60,            0.032492,           0.0094387,            0.001117,             0.44701,             0.72272,             0.47003,             0.26345,             0.04888,            0.007894,           0.0014789,            0.008053,            0.008053,            0.008053
                  61,            0.033434,           0.0096984,           0.0011829,             0.48288,             0.85331,             0.58361,             0.33518,            0.032973,           0.0075312,           0.0014158,             0.00802,             0.00802,             0.00802
                  62,            0.032484,           0.0094003,           0.0012479,             0.36544,             0.35121,             0.23981,             0.12365,            0.060174,            0.010077,           0.0030956,            0.007987,            0.007987,            0.007987
                  63,            0.032189,           0.0094274,           0.0010282,              0.5319,             0.79583,             0.56921,             0.35399,            0.035745,           0.0073059,           0.0016056,            0.007954,            0.007954,            0.007954
                  64,            0.032193,           0.0095681,           0.0011439,             0.50933,             0.77741,             0.57795,             0.38137,            0.033955,           0.0069482,            0.001443,            0.007921,            0.007921,            0.007921
                  65,            0.031342,           0.0092223,           0.0013204,              0.4378,             0.68142,             0.43417,             0.21668,            0.047923,           0.0084747,           0.0014074,            0.007888,            0.007888,            0.007888
                  66,            0.032337,            0.009139,           0.0012506,             0.46932,             0.64657,             0.43072,             0.26928,            0.049671,           0.0086733,            0.004187,            0.007855,            0.007855,            0.007855
                  67,            0.030747,           0.0091557,           0.0012474,             0.38522,             0.63491,             0.34247,             0.16841,            0.061107,           0.0087406,           0.0035588,            0.007822,            0.007822,            0.007822
                  68,            0.031082,           0.0093025,          0.00089172,             0.46135,             0.75261,              0.4999,             0.33863,            0.036726,           0.0083635,           0.0037297,            0.007789,            0.007789,            0.007789
                  69,            0.031384,           0.0094051,           0.0011921,             0.30823,             0.48457,             0.25648,             0.13281,            0.061933,            0.010181,           0.0070148,            0.007756,            0.007756,            0.007756
                  70,            0.031385,           0.0091763,           0.0013738,             0.48041,             0.58694,             0.44756,             0.26628,            0.046526,           0.0084877,           0.0027157,            0.007723,            0.007723,            0.007723
                  71,            0.031619,            0.009344,            0.001024,             0.47334,             0.66766,             0.42667,             0.26747,            0.040188,            0.008104,           0.0015635,             0.00769,             0.00769,             0.00769
                  72,            0.030051,           0.0093609,           0.0015924,             0.46949,             0.81088,              0.5736,             0.40501,            0.031027,           0.0075563,           0.0024863,            0.007657,            0.007657,            0.007657
                  73,             0.03109,           0.0091478,           0.0010594,             0.44811,             0.70907,             0.47161,             0.29244,            0.045284,           0.0080779,           0.0026505,            0.007624,            0.007624,            0.007624
                  74,            0.030545,           0.0089589,          0.00088224,             0.41558,              0.6495,             0.43441,             0.26986,            0.046189,           0.0089178,           0.0031866,            0.007591,            0.007591,            0.007591
                  75,            0.030061,           0.0089921,           0.0011026,             0.49232,             0.67908,             0.44741,             0.28969,            0.048346,           0.0087237,           0.0020165,            0.007558,            0.007558,            0.007558
                  76,            0.031153,            0.008983,          0.00089305,             0.44904,             0.65947,             0.41639,             0.26431,            0.053123,           0.0081894,            0.007942,            0.007525,            0.007525,            0.007525
                  77,            0.030002,            0.008835,          0.00084463,              0.3984,             0.43557,             0.29732,             0.13446,            0.072212,            0.011472,           0.0018616,            0.007492,            0.007492,            0.007492
                  78,            0.030504,           0.0091775,           0.0012408,             0.38225,             0.43938,              0.3027,             0.15857,            0.074013,            0.012748,            0.010318,            0.007459,            0.007459,            0.007459
                  79,            0.029517,           0.0088033,          0.00097366,              0.4503,             0.67549,             0.40925,             0.20974,            0.062288,           0.0094607,           0.0032973,            0.007426,            0.007426,            0.007426
                  80,             0.03057,           0.0090253,           0.0010831,               0.383,             0.65959,             0.39431,             0.22179,            0.051741,            0.009082,           0.0054676,            0.007393,            0.007393,            0.007393
                  81,            0.030488,           0.0089311,           0.0010388,             0.52654,             0.78721,             0.53664,             0.36788,            0.026181,           0.0066842,           0.0012969,             0.00736,             0.00736,             0.00736
                  82,            0.029167,           0.0089086,           0.0010457,             0.46059,              0.7672,             0.45827,              0.3036,            0.040166,           0.0082176,           0.0061137,            0.007327,            0.007327,            0.007327
                  83,            0.030298,            0.009035,          0.00096919,             0.46602,             0.70028,             0.46229,             0.28369,            0.042335,           0.0085741,           0.0026512,            0.007294,            0.007294,            0.007294
                  84,            0.031282,           0.0091295,           0.0012217,             0.52644,             0.88942,             0.54521,             0.40472,            0.026004,           0.0067194,            0.001418,            0.007261,            0.007261,            0.007261
                  85,            0.029474,           0.0088431,          0.00096724,             0.49089,             0.84899,             0.50517,              0.3418,            0.029776,           0.0071154,            0.001445,            0.007228,            0.007228,            0.007228
                  86,             0.02939,           0.0087297,          0.00076057,             0.53542,             0.76436,             0.56467,             0.39138,            0.031637,           0.0073928,           0.0017221,            0.007195,            0.007195,            0.007195
                  87,            0.030078,           0.0089726,          0.00078922,             0.51328,             0.75088,             0.53753,             0.33996,            0.033517,           0.0073073,           0.0026378,            0.007162,            0.007162,            0.007162
                  88,            0.029243,           0.0086502,           0.0006408,             0.46474,             0.71713,             0.43357,             0.26622,            0.040779,           0.0085799,           0.0033835,            0.007129,            0.007129,            0.007129
                  89,            0.028064,           0.0087146,           0.0010933,             0.50592,             0.63336,             0.42465,              0.2276,             0.04727,           0.0088062,           0.0019287,            0.007096,            0.007096,            0.007096
                  90,            0.029765,           0.0084475,          0.00071063,             0.50375,             0.75819,             0.47002,             0.29789,            0.035104,           0.0077323,           0.0034996,            0.007063,            0.007063,            0.007063
                  91,            0.028267,           0.0086291,          0.00082481,             0.23761,             0.29995,             0.14985,            0.050421,            0.070255,            0.015714,           0.0062529,             0.00703,             0.00703,             0.00703
                  92,            0.028446,             0.00864,           0.0013021,             0.49082,             0.73369,             0.49799,             0.34632,            0.028118,           0.0075285,           0.0025717,            0.006997,            0.006997,            0.006997
                  93,            0.028144,           0.0086001,          0.00083171,             0.47845,             0.74995,             0.46409,             0.26987,            0.042504,           0.0085562,            0.001313,            0.006964,            0.006964,            0.006964
